match_key,match_date,season,top_disposal_player_id,top_disposal_player_id_value,top_goal_kicker_player_id,top_goal_kicker_player_id_value,top_fantasy_player_id,top_fantasy_player_id_value
1986-04-12|3|Carlton Blues|St Kilda Saints,1986-04-12,1986,45380.0,29.0,45380.0,1.0,45380,112
1986-04-12|3|Essendon Bombers|Western Bulldogs,1986-04-12,1986,,,,,45852,23
1986-04-12|3|Fitzroy Lions|Melbourne Demons,1986-04-12,1986,45361.0,21.0,45698.0,3.0,45361,65
1986-04-19|4|Carlton Blues|Fitzroy Lions,1986-04-19,1986,45380.0,35.0,45380.0,2.0,45380,135
1986-04-19|4|Essendon Bombers|Melbourne Demons,1986-04-19,1986,45852.0,13.0,45852.0,4.0,45852,82
1986-04-19|4|Hawthorn Hawks|St Kilda Saints,1986-04-19,1986,45679.0,11.0,45679.0,7.0,45679,110
1986-04-25|5|Carlton Blues|Essendon Bombers,1986-04-25,1986,45380.0,22.0,,,45380,65
1986-04-25|5|Melbourne Demons|Sydney Swans,1986-04-25,1986,45698.0,8.0,,,45698,13
1986-04-26|5|Fitzroy Lions|Hawthorn Hawks,1986-04-26,1986,45361.0,26.0,,,45361,72
1986-04-26|5|Richmond Tigers|St Kilda Saints,1986-04-26,1986,45679.0,12.0,45679.0,6.0,45679,86
1986-05-02|6|North Melbourne Kangaroos|St Kilda Saints,1986-05-02,1986,45679.0,10.0,45679.0,5.0,45679,74
1986-05-03|6|Collingwood Magpies|Melbourne Demons,1986-05-03,1986,45698.0,20.0,45698.0,2.0,45698,97
1986-05-03|6|Essendon Bombers|Hawthorn Hawks,1986-05-03,1986,,,45852.0,1.0,45852,49
1986-05-03|6|Fitzroy Lions|Richmond Tigers,1986-05-03,1986,45361.0,11.0,,,45361,29
1986-05-03|6|Geelong Cats|Western Bulldogs,1986-05-03,1986,45906.0,12.0,45906.0,2.0,45906,52
1986-05-04|6|Carlton Blues|Sydney Swans,1986-05-04,1986,45380.0,18.0,,,45380,59
1986-05-10|7|Carlton Blues|Collingwood Magpies,1986-05-10,1986,45380.0,29.0,45380.0,1.0,45380,92
1986-05-10|7|Essendon Bombers|Richmond Tigers,1986-05-10,1986,45852.0,15.0,45852.0,3.0,45852,85
1986-05-10|7|Fitzroy Lions|St Kilda Saints,1986-05-10,1986,45361.0,9.0,45679.0,2.0,45679,35
1986-05-10|7|Geelong Cats|Melbourne Demons,1986-05-10,1986,45698.0,15.0,,,45698,49
1986-05-17|8|Carlton Blues|Geelong Cats,1986-05-17,1986,45380.0,24.0,45906.0,1.0,45380,69
1986-05-17|8|Essendon Bombers|St Kilda Saints,1986-05-17,1986,45679.0,2.0,,,45679,9
1986-05-17|8|Fitzroy Lions|North Melbourne Kangaroos,1986-05-17,1986,45361.0,16.0,,,45361,51
1986-05-17|8|Melbourne Demons|Western Bulldogs,1986-05-17,1986,45698.0,19.0,45698.0,2.0,45698,78
1986-05-18|8|Richmond Tigers|Sydney Swans,1986-05-18,1986,45840.0,10.0,,,45840,35
1986-05-24|9|Carlton Blues|Western Bulldogs,1986-05-24,1986,45380.0,24.0,45380.0,1.0,45380,89
1986-05-24|9|Essendon Bombers|Fitzroy Lions,1986-05-24,1986,45361.0,10.0,,,45361,37
1986-05-24|9|Melbourne Demons|North Melbourne Kangaroos,1986-05-24,1986,45698.0,14.0,,,45698,43
1986-05-24|9|St Kilda Saints|Sydney Swans,1986-05-24,1986,45840.0,6.0,45682.0,1.0,45682,33
1986-05-30|10|Essendon Bombers|North Melbourne Kangaroos,1986-05-30,1986,45852.0,14.0,45852.0,5.0,45852,96
1986-05-31|10|Carlton Blues|Melbourne Demons,1986-05-31,1986,45380.0,22.0,45698.0,1.0,45380,73
1986-05-31|10|Collingwood Magpies|St Kilda Saints,1986-05-31,1986,45682.0,8.0,45682.0,2.0,45682,59
1986-06-01|10|Fitzroy Lions|Sydney Swans,1986-06-01,1986,45361.0,20.0,45361.0,1.0,45361,66
1986-06-07|11|Collingwood Magpies|Fitzroy Lions,1986-06-07,1986,45361.0,3.0,,,45361,10
1986-06-07|11|Geelong Cats|St Kilda Saints,1986-06-07,1986,45679.0,10.0,45679.0,3.0,45679,53
1986-06-09|11|Carlton Blues|North Melbourne Kangaroos,1986-06-09,1986,45380.0,30.0,45380.0,1.0,45380,94
1986-06-09|11|Essendon Bombers|Sydney Swans,1986-06-09,1986,45840.0,11.0,,,45852,53
1986-06-13|12|North Melbourne Kangaroos|Sydney Swans,1986-06-13,1986,45840.0,23.0,,,45840,59
1986-06-14|12|Collingwood Magpies|Essendon Bombers,1986-06-14,1986,45852.0,15.0,,,45852,65
1986-06-14|12|Melbourne Demons|Richmond Tigers,1986-06-14,1986,45698.0,13.0,,,45698,50
1986-06-14|12|St Kilda Saints|Western Bulldogs,1986-06-14,1986,45679.0,12.0,45682.0,2.0,45682,39
1986-06-15|12|Carlton Blues|Hawthorn Hawks,1986-06-15,1986,45380.0,19.0,45380.0,3.0,45380,101
1986-06-21|13|Carlton Blues|Richmond Tigers,1986-06-21,1986,45380.0,27.0,45380.0,3.0,45380,113
1986-06-21|13|Collingwood Magpies|Sydney Swans,1986-06-21,1986,45840.0,11.0,,,45840,36
1986-06-21|13|Essendon Bombers|Geelong Cats,1986-06-21,1986,45852.0,15.0,,,45852,77
