match_id,match_date,season,round,home_team,away_team,venue,home_score,away_score,target_home_win,target_draw,target_result,target_margin,home_win_rate_last5,away_win_rate_last5,home_avg_score_for_last5,away_avg_score_for_last5,home_avg_score_against_last5,away_avg_score_against_last5,home_win_streak,away_win_streak,home_rest_days,away_rest_days,home_ladder_points_prior,away_ladder_points_prior,home_ladder_position_prior,away_ladder_position_prior,ladder_points_diff,h2h_home_win_rate_prior,h2h_games_prior
10736,1983-07-02,1983,15,Carlton Blues,Melbourne Demons,Princes Park,67,106,0,0,L,-39,0.4,0.4,109.8,104.8,127.6,118.2,1,2,14.0,7.0,28,20,6.0,9.0,8,1.0,1
11134,1983-07-02,1983,15,Collingwood Magpies,Essendon Bombers,Victoria Park,104,87,1,0,W,17,0.6,0.8,101.8,117.4,90.2,87.4,1,0,7.0,7.0,28,40,5.0,1.0,-12,0.0,1
12341,1983-07-02,1983,15,Geelong Cats,St Kilda Saints,GMHBA Stadium,68,120,0,0,L,-52,0.4,0.0,92.2,99.0,102.6,140.8,1,0,14.0,7.0,24,4,7.0,19.0,20,1.0,1
13986,1983-07-02,1983,15,Richmond Tigers,North Melbourne Kangaroos,Melbourne Cricket Ground,114,138,0,0,L,-24,0.6,1.0,108.0,134.6,102.6,89.0,1,7,7.0,7.0,12,36,12.0,2.0,-24,0.0,1
15434,1983-07-02,1983,15,Western Bulldogs,hawthorn hawks,Waverley Park,60,89,0,0,L,-29,0.6,1.0,106.2,131.0,126.4,112.0,0,1,14.0,98.0,24,4,9.0,15.0,20,,0
14741,1983-07-03,1983,15,Sydney Swans,Fitzroy Lions,Sydney Cricket Ground,147,117,1,0,W,30,0.4,0.6,90.6,143.0,110.0,116.6,0,1,8.0,15.0,20,32,10.0,3.0,-12,,0
11920,1983-07-09,1983,16,Fitzroy Lions,Carlton Blues,Waverley Park,89,124,0,0,L,-35,0.4,0.2,141.2,102.4,128.6,129.6,0,0,6.0,7.0,32,28,3.0,6.0,4,1.0,1
13135,1983-07-09,1983,16,North Melbourne Kangaroos,essendon bombers,Aegis Park,128,107,1,0,W,21,1.0,,137.4,,95.0,,8,0,7.0,,40,0,1.0,,40,,0
15435,1983-07-09,1983,16,Western Bulldogs,Richmond Tigers,Western Oval,84,104,0,0,L,-20,0.6,0.4,103.4,109.6,106.4,111.4,0,0,7.0,7.0,24,12,10.0,12.0,12,,0
12735,1983-07-16,1983,16,Hawthorn Hawks,Collingwood Magpies,Princes Park,137,100,1,0,W,37,0.8,0.8,135.8,107.2,98.0,89.0,3,2,21.0,14.0,32,32,3.0,5.0,0,1.0,1
13529,1983-07-16,1983,16,Melbourne Demons,Geelong Cats,Melbourne Cricket Ground,79,73,1,0,W,6,0.6,0.2,104.2,86.8,97.4,109.6,3,0,14.0,14.0,24,24,8.0,7.0,0,,0
14362,1983-07-16,1983,16,St Kilda Saints,Sydney Swans,Moorabbin Oval,129,100,1,0,W,29,0.2,0.4,106.6,95.8,128.8,113.4,1,1,14.0,13.0,8,24,14.0,9.0,-16,0.0,1
11921,1983-07-23,1983,17,Fitzroy Lions,St Kilda Saints,Junction Oval,138,149,0,0,L,-11,0.4,0.4,139.2,103.6,124.4,116.8,0,2,14.0,7.0,32,12,4.0,13.0,20,1.0,1
12343,1983-07-23,1983,17,Geelong Cats,Carlton Blues,GMHBA Stadium,73,108,0,0,L,-35,0.2,0.4,84.6,110.8,103.4,108.8,0,1,7.0,14.0,24,32,8.0,6.0,-8,1.0,1
13136,1983-07-23,1983,17,North Melbourne Kangaroos,Collingwood Magpies,Waverley Park,152,98,1,0,W,54,1.0,0.6,124.4,95.2,100.0,87.6,9,0,14.0,7.0,44,32,1.0,6.0,12,0.0,1
